Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.apache.cxf.bus.managers.ConduitInitiatorManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;7;4
org.apache.cxf.bus.managers.DestinationFactoryManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;7;4
org.apache.cxf.configuration.NullConfigurer;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.interceptor.AbstractBasicInterceptorProvider;;0;0;0;0;0;1;1;0;1;0;0;0;6;0;0;0;0;9;4
org.apache.cxf.resource.DefaultResourceManager;;0;0;0;1;0;1;0;0;1;0;0;2;8;0;0;0;0;13;5
org.apache.cxf.resource.ObjectTypeResolver;;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;5;4
org.apache.cxf.resource.PropertiesResolver;;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;4;4
org.apache.cxf.resource.SinglePropertyResolver;;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;4;3
org.apache.cxf.bus.extension.ExtensionManagerImpl;;0;0;1;1;0;0;0;0;0;0;0;14;18;0;0;2;0;36;5
org.apache.cxf.common.injection.ResourceInjector;;1;0;0;1;1;0;1;0;0;0;0;16;25;0;0;0;0;45;6
org.apache.cxf.bus.extension.ExtensionRegistry;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;3;2
org.apache.cxf.bus.extension.TextExtensionFragmentParser;;0;0;0;0;0;1;0;0;0;0;0;3;4;0;0;2;0;10;4
org.apache.cxf.bus.ManagedBus;;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;4;4
org.apache.cxf.management.ManagementConstants;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.common.i18n.BundleUtils;;0;0;0;0;0;1;0;0;0;0;0;4;7;0;0;0;1;13;4
org.apache.cxf.helpers.CastUtils;;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;5;3
org.apache.cxf.bus.managers.ClientLifeCycleManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3;3
org.apache.cxf.transport.TransportFinder;;0;0;0;1;0;0;0;0;0;0;0;12;12;0;0;0;0;25;3
org.apache.cxf.bus.managers.CXFBusLifeCycleManager;;0;0;0;0;0;1;0;0;0;0;0;3;7;0;0;1;0;12;4
org.apache.cxf.bus.managers.EndpointResolverRegistryImpl;;0;0;0;0;0;1;0;0;0;0;0;4;7;0;0;1;0;13;4
org.apache.cxf.bus.managers.HeaderManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3;3
org.apache.cxf.bus.managers.PhaseManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;1;0;6;4
org.apache.cxf.common.util.SortedArraySet;;0;0;0;1;0;0;0;0;0;0;0;7;8;0;0;0;1;17;4
org.apache.cxf.phase.Phase;;0;0;0;1;0;1;0;0;0;0;0;2;4;0;0;0;0;8;4
org.apache.cxf.bus.managers.ServerLifeCycleManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3;3
org.apache.cxf.bus.managers.ServerRegistryImpl;;0;0;0;0;0;1;0;0;0;0;0;2;4;0;0;1;0;8;4
org.apache.cxf.bus.managers.ServiceContractResolverRegistryImpl;;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;7;4
org.apache.cxf.bus.managers.WorkQueueImplMBeanWrapper;;0;0;0;0;0;1;0;0;0;1;0;1;6;0;0;1;0;10;5
org.apache.cxf.workqueue.AutomaticWorkQueueImpl;;0;0;0;1;0;0;1;0;1;0;0;13;23;1;0;0;0;40;6
org.apache.cxf.bus.managers.WorkQueueManagerImpl;;0;0;0;1;0;1;0;0;0;1;0;4;6;0;0;1;0;14;6
org.apache.cxf.bus.managers.WorkQueueManagerImplMBeanWrapper;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;5;4
org.apache.cxf.bus.managers.WorkQueueManagerImpl.WQLifecycleListener;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;3
org.apache.cxf.bus.resource.ResourceManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;4;3
