Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
javax.mail.internet.MimeMessage;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.mail.Session;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.mail.internet.MimePartDataSource;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.AuthException;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.AuthStatus;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.CallerPrincipalCallback;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.CertStoreCallback;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.security.auth.message.callback.GroupPrincipalCallback;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.security.auth.message.callback.PasswordValidationCallback;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.PrivateKeyCallback;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.PrivateKeyCallback.AliasRequest;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.PrivateKeyCallback.DigestRequest;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.security.auth.message.callback.PrivateKeyCallback.IssuerSerialNumRequest;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.security.auth.message.callback.PrivateKeyCallback.SubjectKeyIDRequest;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.SecretKeyCallback;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.SecretKeyCallback.AliasRequest;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.callback.TrustStoreCallback;;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1
javax.security.auth.message.config.AuthConfigFactory;;0;0;0;0;0;1;0;0;0;1;1;12;14;0;0;1;0;7;6
org.apache.catalina.authenticator.jaspic.AuthConfigFactoryImpl;;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;30;6
javax.security.auth.message.MessagePolicy;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
javax.security.auth.message.MessagePolicy.TargetPolicy;;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;0;1;1
javax.servlet.ServletException;;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;6;3
javax.servlet.AsyncEvent;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;3;2
javax.servlet.GenericFilter;;0;0;0;0;0;1;0;0;0;0;0;0;5;4;0;0;0;4;2
javax.servlet.GenericServlet;;0;0;0;0;0;1;1;0;0;0;0;0;10;1;0;0;0;11;4
javax.servlet.http.Cookie;;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;15;6
javax.servlet.http.CookieNameValidator;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
javax.servlet.http.RFC2109Validator;;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2
