Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
jenkins.util.URLClassLoader2;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;2
hudson.Plugin;;0;0;0;1;0;1;1;0;1;0;0;2;2;0;0;0;0;8;6
hudson.PluginWrapper;;1;0;1;1;0;0;1;0;0;0;0;19;30;2;0;0;0;55;7
hudson.PluginManager;;1;0;1;1;1;0;1;0;1;0;1;46;34;2;0;0;0;89;10
hudson.ExtensionFinder;;0;0;0;1;0;1;0;0;0;0;1;2;1;0;0;0;0;6;5
hudson.ExtensionComponent;;0;0;0;0;0;1;0;0;0;0;0;1;5;1;0;0;0;8;4
hudson.Util;;1;0;1;1;0;0;1;0;0;0;0;46;59;13;0;0;0;122;7
hudson.PluginFirstClassLoader2;;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;4;3
hudson.ExtensionFinder.Sezpoz;;0;0;0;1;0;1;0;0;0;0;0;4;5;0;0;0;0;11;4
hudson.FilePath;;1;0;1;1;0;0;1;0;0;0;0;38;102;9;0;0;0;153;7
hudson.cli.AbstractBuildRangeCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.model.AbstractBuild;;1;0;0;1;0;0;1;0;1;0;1;17;14;2;0;1;0;39;9
hudson.model.AbstractProject;;1;0;1;1;0;0;1;0;0;1;1;40;32;2;0;1;0;81;10
hudson.model.Fingerprint.RangeSet;;0;0;1;1;0;0;0;0;0;0;0;9;11;1;1;1;0;25;7
hudson.model.Fingerprint;;1;0;0;1;0;0;1;0;0;0;1;13;15;0;0;1;0;33;7
hudson.cli.CLICommand;;0;0;0;1;0;0;1;0;0;1;1;6;13;0;0;0;0;23;6
hudson.model.Job;;1;0;1;1;1;0;1;0;1;0;1;28;29;4;0;1;0;69;11
hudson.cli.AddJobToViewCommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.model.View;;1;0;0;1;1;0;1;0;0;1;1;21;27;3;0;1;0;58;10
hudson.cli.BuildCommand;;0;0;1;1;0;0;0;0;0;1;0;2;1;0;1;0;0;7;6
hudson.cli.BuildCommand.CLICause;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.console.ModelHyperlinkNote;;0;0;0;0;0;1;0;0;1;0;0;1;4;0;0;0;0;7;4
hudson.model.Cause.UserIdCause;;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;6;6
hudson.model.CauseAction;;0;0;0;1;0;1;1;0;1;0;0;2;5;0;0;1;0;12;7
hudson.model.ParameterDefinition;;0;0;0;1;0;1;1;0;0;0;0;2;6;2;0;1;0;14;7
hudson.model.ParameterValue;;0;0;0;1;0;1;1;0;0;0;0;4;8;1;0;1;0;17;7
hudson.model.ParametersAction;;1;0;0;1;0;0;1;0;1;0;0;10;9;1;0;1;0;25;8
hudson.model.ParametersDefinitionProperty;;0;0;0;1;1;1;0;0;0;0;1;2;3;0;0;1;0;10;7
hudson.model.Queue;;1;0;1;1;1;0;1;0;1;0;0;36;43;0;0;1;0;86;9
hudson.model.Run;;1;0;1;1;1;0;1;0;0;0;1;42;62;8;0;1;0;119;10
hudson.model.User;;1;0;0;1;1;0;1;0;1;0;0;21;31;6;0;1;0;64;9
hudson.util.EditDistance;;0;0;0;0;0;1;0;0;0;0;0;3;4;0;0;0;1;9;4
hudson.util.StreamTaskListener;;0;0;0;1;0;1;1;0;0;0;0;3;11;0;0;0;1;18;6
jenkins.model.ParameterizedJobMixIn;;0;0;0;1;0;1;0;0;0;0;0;7;11;0;0;16;0;36;5
jenkins.scm.SCMDecisionHandler;;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;4;3
hudson.model.Cause;;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;5;5
hudson.model.Queue.Item;;0;0;0;1;1;0;1;0;1;0;1;8;11;0;0;1;0;25;8
hudson.model.AbstractItem;;1;0;1;1;1;0;1;0;1;0;1;15;24;4;1;1;0;52;12
jenkins.triggers.SCMTriggerItem.SCMTriggerItems;;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;6;4
hudson.scm.PollingResult;;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;2
hudson.model.Result;;0;0;0;1;0;1;0;0;0;0;0;2;6;0;0;1;0;11;5
hudson.cli.CancelQuietDownCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.ClearQueueCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.CLIAction;;0;0;0;1;0;1;1;0;0;1;0;3;2;0;0;0;0;9;6
hudson.cli.CLIAction.PlainCliEndpointResponse;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.CLIAction.ServerSideImpl;;0;0;0;1;0;0;1;0;0;0;0;3;2;0;0;0;0;7;4
hudson.cli.CLIAction.doWs.(Anon_1).OutputImpl;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins.util.FullDuplexHttpService;;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
jenkins.util.SystemProperties;;0;0;0;1;1;1;1;0;0;0;0;3;9;1;0;0;0;17;7
jenkins.websocket.WebSocketSession;;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;6;3
jenkins.websocket.WebSockets;;0;0;0;1;0;1;0;0;0;0;0;2;3;0;0;0;0;7;4
jenkins.util.FullDuplexHttpService.Response;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.ExtensionList;;1;0;0;1;0;0;1;0;0;0;1;15;21;3;0;0;0;43;7
hudson.security.SecurityRealm;;1;0;0;1;1;0;1;0;1;0;0;13;9;0;0;1;0;28;8
hudson.cli.HelpCommand;;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;4;2
hudson.cli.WhoAmICommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.CliCrumbExclusion;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.security.csrf.CrumbExclusion;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.CliTransportAuthenticator;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
hudson.cli.Connection;;0;0;0;1;0;1;1;0;0;0;0;5;5;0;0;0;0;13;5
hudson.cli.CloneableCLICommand;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.cli.ConnectNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.model.Computer;;1;0;0;1;1;0;1;0;1;0;1;34;38;8;0;1;0;87;10
hudson.cli.ConsoleCommand;;0;0;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;5;4
hudson.cli.ConsoleCommand.seek.RingBuffer;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
hudson.console.AnnotatedLargeText;;0;0;0;1;0;1;0;0;1;0;0;3;5;0;0;0;0;11;5
hudson.model.PermalinkProjectAction.Permalink;;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;4;3
hudson.PermalinkList;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.cli.CopyJobCommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.CreateJobCommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.CreateNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.model.Node;;1;0;0;1;1;0;1;0;0;0;1;8;14;3;0;1;0;31;9
hudson.cli.CreateViewCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.model.Failure;;0;0;0;0;0;1;0;0;0;0;0;1;3;1;0;1;0;7;5
hudson.cli.declarative.CLIRegisterer;;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
jenkins.ExtensionComponentSet;;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;5;3
jenkins.ExtensionRefreshException;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.declarative.MethodBinder;;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
hudson.cli.declarative.MethodBinder.ArgumentImpl;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.util.ReflectionUtils;;0;0;0;1;0;1;0;0;0;0;0;1;3;0;0;0;1;7;5
hudson.util.ReflectionUtils.Parameter;;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;1;6;3
hudson.cli.DeleteBuildsCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.RunRangeCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.DeleteJobCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.DeleteNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.DeleteViewCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.handlers.ViewOptionHandler;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
hudson.cli.DisablePluginCommand;;0;0;0;1;0;0;1;0;0;0;0;7;4;0;0;0;0;13;4
hudson.lifecycle.RestartNotSupportedException;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
hudson.PluginWrapper.PluginDisableResult;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2
hudson.cli.DisconnectNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
