Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.springframework.docs.core.expressions.expressionsbeandef.MovieFinder;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.MovieRecommender;framework;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
org.springframework.docs.core.expressions.expressionsbeandef.NumberGuess;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.PropertyValueTestBean;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.ShapeGuess;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.SimpleMovieLister;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.core.validation.formatconfiguringformattingglobaldatetimeformat.ApplicationConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.validation.validationbeanvalidationspringmethod.ApplicationConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.core.validation.validationbeanvalidationspringmethodexceptions.ApplicationConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.dataaccess.jdbc.jdbccomplextypes.SqlTypeValueFactory;framework;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2
org.springframework.docs.dataaccess.jdbc.jdbccomplextypes.TestItem;framework;0;0;0;1;0;1;0;0;0;0;0;1;7;0;0;0;0;10;4
org.springframework.docs.dataaccess.jdbc.jdbccomplextypes.TestItemStoredProcedure;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.dataaccess.jdbc.jdbcdatasource.BasicDataSourceConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcdatasource.ComboPooledDataSourceConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcdatasource.DriverManagerDataSourceConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcembeddeddatabase.JdbcEmbeddedDatabaseConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms.JdbcCorporateEventDao;framework;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms.JdbcCorporateEventDaoConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms.JdbcCorporateEventRepository;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms.JdbcCorporateEventRepositoryConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.cache.cacheannotationenable.CacheConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.cache.cachestoreconfigurationcaffeine.CacheConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.integration.cache.cachestoreconfigurationcaffeine.CustomCacheConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.integration.cache.cachestoreconfigurationjdk.CacheConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;5;3
org.springframework.docs.integration.cache.cachestoreconfigurationjsr107.CacheConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.cache.cachestoreconfigurationnoop.CacheConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsannotatedsupport.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsjcamessageendpointmanager.AlternativeJmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsjcamessageendpointmanager.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsreceivingasync.ExampleListener;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsreceivingasync.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsreceivingasyncmessagelisteneradapter.DefaultMessageDelegate;framework;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.springframework.docs.integration.jms.jmsreceivingasyncmessagelisteneradapter.DefaultResponsiveTextMessageDelegate;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.integration.jms.jmsreceivingasyncmessagelisteneradapter.DefaultTextMessageDelegate;framework;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.integration.jms.jmsreceivingasyncmessagelisteneradapter.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmsreceivingasyncmessagelisteneradapter.MessageListenerConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.jms.jmstxparticipation.ExternalTxJmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jms.jmstxparticipation.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.jmx.jmxcontextmbeanexport.CustomJmxConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.integration.jmx.jmxcontextmbeanexport.JmxConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.integration.jmx.jmxexporting.JmxConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2
org.springframework.docs.integration.jmx.jmxexporting.JmxTestBean;framework;0;0;0;1;0;1;0;0;1;0;0;0;2;0;0;0;0;5;4
org.springframework.docs.integration.mailusagesimple.Order;framework;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.integration.mailusagesimple.Customer;framework;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.springframework.docs.integration.mailusagesimple.MailConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;5;3
org.springframework.docs.integration.mailusagesimple.SimpleOrderManager;framework;0;0;0;1;0;1;0;0;0;1;0;1;3;0;0;0;0;7;5
org.springframework.docs.integration.observability.applicationevents.ApplicationEventsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.observability.applicationevents.EmailNotificationListener;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.integration.observability.applicationevents.EmailReceivedEvent;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.integration.observability.applicationevents.EventAsyncExecutionConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.integration.observability.config.conventions.CustomServerRequestObservationConvention;framework;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;6;3
org.springframework.docs.integration.observability.config.conventions.ExtendedServerRequestObservationConvention;framework;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
org.springframework.docs.integration.observability.config.conventions.ServerRequestObservationFilter;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.observability.httpserver.reactive.HttpHandlerConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.observability.httpserver.reactive.UserController;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.observability.httpserver.reactive.UserController.MissingUserException;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.integration.observability.httpserver.servlet.UserController;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.observability.httpserver.servlet.UserController.MissingUserException;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.integration.observability.jms.process.JmsConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.observability.jms.publish.JmsTemplatePublish;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.observability.tasksscheduled.ObservationSchedulingConfigurer;framework;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
org.springframework.docs.integration.schedulingenableannotationsupport.SchedulingConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.integration.schedulingtaskexecutorusage.TaskExecutorConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.integration.schedulingtaskexecutorusage.TaskExecutorExample;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.integration.schedulingtaskexecutorusage.TaskExecutorExample.MessagePrinterTask;framework;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterassertions.HotelControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterassertions.HotelControllerTests.HotelController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterassertionsjson.FamilyControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;6;3
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterassertionsjson.FamilyControllerTests.FamilyController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterassertionsjson.FamilyControllerTests.Member;framework;0;1;0;0;0;0;1;0;0;0;0;;;;;0;0;2;2
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterintegration.HotelControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterintegration.HotelControllerTests.HotelController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequests.HotelControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;4;2;0;0;0;0;7;3
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequests.HotelControllerTests.HotelController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestsasync.AsyncControllerTests;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestsasync.AsyncControllerTests.AsyncController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestsmultipart.MultipartControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestsmultipart.MultipartControllerTests.MultipartController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestspaths.HotelControllerTests;framework;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2
org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestspaths.HotelControllerTests.HotelController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctestersetup.AccountController;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctestersetup.AccountControllerIntegrationTests;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.testing.mockmvc.assertj.mockmvctestersetup.ApplicationWebConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctestersetup.AccountControllerStandaloneTests;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.testing.mockmvc.assertj.mockmvctestersetup.converter.AccountControllerIntegrationTests;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webflux.controller.webfluxanncontrollerexceptions.SimpleController;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webflux.controller.webfluxannexceptionhandlermedia.MediaTypeController;framework;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;5;3
org.springframework.docs.web.webflux.controller.webfluxannexceptionhandlermedia.MediaTypeController.ErrorMessage;framework;0;1;0;0;0;0;1;0;0;0;0;;;;;0;0;2;2
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigadvancedjava.WebConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigadvancedxml.MyPostProcessor;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigcontentnegotiation.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigconversion.DateTimeWebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigconversion.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigcustomize.WebConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigenable.WebConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfiginterceptors.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigmessageconverters.WebConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigpathmatching.WebConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigstaticresources.VersionedConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigstaticresources.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigvalidation.FooValidator;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigvalidation.MyController;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigvalidation.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigviewcontroller.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigviewresolvers.FreeMarkerConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2
org.springframework.docs.web.webmvc.mvcconfig.mvcconfigviewresolvers.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvcconfig.mvcdefaultservlethandler.CustomDefaultServletConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvcconfig.mvcdefaultservlethandler.WebConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvccontroller.mvcanncontroller.WebConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.web.webmvc.mvccontroller.mvcannexceptionhandler.SimpleController;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.webmvc.mvccontroller.mvcannexceptionhandlerexc.ExceptionController;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.web.webmvc.mvccontroller.mvcannexceptionhandlermedia.MediaTypeController;framework;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;5;3
org.springframework.docs.web.webmvc.mvccontroller.mvcannexceptionhandlermedia.MediaTypeController.ErrorMessage;framework;0;1;0;0;0;0;1;0;0;0;0;;;;;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstompauthenticationtokenbased.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance.MessageSizeLimitWebSocketConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance.WebSocketConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.websocket.stomp.websocketstompdestinationseparator.RedController;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.websocket.stomp.websocketstompdestinationseparator.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstompenable.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstomphandlebrokerrelay.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstomphandlebrokerrelayconfigure.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;4;3
org.springframework.docs.web.websocket.stomp.websocketstomphandlesimplebroker.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.web.websocket.stomp.websocketstompinterceptors.MyChannelInterceptor;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.web.websocket.stomp.websocketstompinterceptors.WebSocketConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.web.websocket.stomp.websocketstompmessageflow.GreetingController;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.web.websocket.stomp.websocketstompmessageflow.WebSocketConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.web.websocket.stomp.websocketstomporderedmessages.PublishOrderWebSocketConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
